Column1,Wind Farm Name,Longitude,Latitude,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer
0,Acres Wind Farm,-8.191103157,54.52596929,75,98,4,25,13,"2,850",https://www.thewindpower.net/windfarm_en_23735_acres.php,GE Energy
1,Altagowlan Wind Farm,-8.144207519,54.12264995,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_1737_altagowlan.php,Gamesa
2,An Cnoc,-7.528185066,52.64733953,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa
3,Anarget Wind Farm (1),-8.168338211,54.75216441,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa
4,Anarget Wind Farm (2),-8.171490084,54.75181857,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa
5,Anarget Wind Farm (3),-8.16752758,54.75522936,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa
6,"Arklow Bank Wind Farm (1)
Wind (Offshore)",-6.088454581,52.79204789,75,100,4,25,13,"3,600",https://www.thewindpower.net/windfarm_en_1741_arklow-bank.php,GE Energy
7,Athea,-9.29802027,52.4389942,65,100,3,25,12,"1,600",https://www.thewindpower.net/windfarm_en_18006_athea.php,GE Energy
8,Ballagh Wind Farm,-9.0842193,52.36889599,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_23059_ballagh.php,Enercon
9,"Ballaman (Kennystown) Wind Farm
Wind",-6.54371057,52.62308674,80,105,3,25,13,"1,800",https://www.thewindpower.net/windfarm_en_17466_ballaman.php,Vestas
10,Ballincollig Hill Wind Farm (Lee Strand),-9.592846943,52.30805684,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_19948_ballincollig-hill.php,Enercon
12,"Ballinlough Wind Farm
Wind",-8.011500532,52.83020128,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3852_ballinlough-ikerrin.php,Vestas
13,"Ballinveny Wind Farm
Wind",-7.953136611,52.81694468,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1849_ballinveny.php,Vestas
14,Ballon Wind,-6.803612061,52.72471709,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_27242_ballon-wind.php,Vestas
15,"Ballybane (Glanta Commons) Wind Farm
Wind",-9.379970367,51.63174777,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3844_ballybane.php,Enercon
16,Ballybane 2 (Glanta Commons) Wind Farm,-9.379970367,51.63174777,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6704_ballybane.php,Enercon
17,Ballybane 2A (Glanta Commons) Wind Farm,-9.379970367,51.63174777,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_22490_ballybane.php,Enercon
18,Ballybane 2A (Glanta Commons) Wind Farm Extension,-9.379970367,51.63174777,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_29933_ballybane.php,Enercon
21,"Ballycadden Wind Farm (1)
Wind",-6.530214992,52.64630888,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_20104_ballycadden.php,Enercon
22,"Ballycadden Wind Farm (2)
Wind",-6.52547033,52.64369711,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_23115_ballycadden.php,Enercon
23,Ballycumber Wind Farm,-6.468145104,52.83341347,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_25199_ballycumber.php,Enercon
24,"Ballycurreen Wind Farm
Wind",-7.597861313,52.02934825,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_22154_ballycurreen.php,Enercon
25,"Ballyduff Wind Farm
Wind",-6.481211171,52.64584363,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_27258_ballyduff.php,Enercon
26,"Ballyduff Wind Farm
Wind",-6.480386267,52.6461926,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_27259_ballyduff.php,Enercon
27,Ballymartin (1) (Smithstown),-7.107502548,52.38730819,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_1713_ballymartin.php,Enercon
